jp,fr,occurrences,has_var,en_hint
"気品漂う古龍種の鱗。
苛烈な環境でも、一切材質が
劣化しない、恐るべき鱗。",,3,,"Severe environments have not
degraded this scale in the
slightest. Rightly feared."
"メゼポルタ広場で流行してい
る、遊戯や占いなどに使用さ
れるコイン。",,3,yes,"A coin that can be spent on
games, fortune telling etc.
in Mezeporta Square."
"クリスマスツリーの
生産方法が記された紙。
総合ショップに持って行こう！",,3,yes,"Instructions for making a
Christmas Tree. Take them
to the Furniture Shop!"
"キャラバンの周辺で採掘され
る特殊な鋼石。とある国では
貨幣の材料とされている。",,3,yes,"Special stone unearthed near
the Caravan. Used to make
coins in a certain country."
"特殊な鉱石から生産された
防具を強化できる素材。種類
によって多彩な変化を見せる。",,3,,"A material that can improve
armor made from a special
ore. Each type is different."
"VSトーナメントを見事に
勝ち抜いたハンターに
与えられる表彰状。",,3,yes,"A certificate awarded to
those who perform well
in VS Tournaments."
"ハンター同士の友情を
称え、贈られる品。",,3,yes,
"狩猟生活を始めたハンターへ
贈られる特別な証。
工房で特別な品と引換え可能。",,3,yes,
"狩猟技会の参加者にのみ支給さ
れる特殊なボール。モンスター
に当てると…{c05}（支給品専用）{/c}",,3,yes,
"新しい秘密兵器の生産方法が
書かれている図面。１枚では
読み取ることができない。",,3,,
"特殊な鉱石から生産された
防具をさらに強化する素材。
宝玉の色によって変化する。",,3,,
"時の流れによって失われない
ものがたった１つだけあると
すれば、それは仲間との絆。",,3,,
"正体不明のモンスターの素材。
表面の光沢の度合いから、
最近修復された甲殻のようだ。",,3,yes,
"ギルドが発行した
アクラ・ヴァシムが
描かれた記念バッチ。",,3,yes,
"ギルドが発行した
ベルキュロスが
描かれた記念バッチ。",,3,yes,
"ギルドが発行した
パリアプリアが
描かれた記念バッチ。",,3,yes,
"如何なる攻撃も通さない、
獣竜種の体を覆う鱗。
まさに鉄壁の鎧といえる。",,3,,
"獣竜種の角は、大きさに
大小はあるものの、
圧倒的な存在感を放つ。",,3,,
"鋭い獣竜種の牙は、
的確に獲物の急所を捉え、
致命傷を与える。",,3,,
"非常にしなやかで丈夫な
獣竜種の尾。尾を自在に操り、
獲物を的確に捉える。",,3,,
"時も場所も選ばず、誇れる
ものがたった１つだけあると
すれば、それは仲間との絆。",,3,,
"ルシウスにハンターとしての
技量を見込まれた証。
クエスト受注で使用する。",,3,yes,
"滑らかな海竜種の鱗。
まるで鉱石のような質感からは
自然の雄大ささえ感じる。",,3,,
"艶やかな海竜種の皮。
その強靭さは群を抜いており
環境の変化に強い。",,3,,
"決して砕けず、決して斬れず。
最高峰の硬度はその構造に
由来し、元素自体は脆い。",,3,,
"大剣に特殊な効果を
付与する印。
{c05}（天廊武器専用）",,3,,
"ハンマーに特殊な効果を
付与する印。
{c05}（天廊武器専用）",,3,yes,
"パピプペランスの
生産方法が記された紙。
Ａ、Ｂ、Ｃを集めて工房へ！",,3,yes,
"セントピリアボウの
生産方法が記された紙。
Ａ、Ｂ、Ｃを集めて工房へ！",,3,yes,
"実績あるハンターにギルドから
贈られる推薦状。より強いモン
スターへの挑戦が認められる。",,3,yes,
"初めて、新天地に訪れた狩人
たちへの記念の紋章。",,3,,
"初めて、新天地に訪れた狩人
たちへの記念の印。",,3,,
"特別なクエストを受注する
ための貴重な結晶。
秘伝の極意を得られるという。",,3,yes,
"あるモンスターの目のような
光の効果が入った宝石。
非常に価値が高い。",,3,yes,
"ネコの装飾品を作る材料が
もらえるかも。ハリセンネコ
のところへ持って行こう！",,3,yes,
"パートニャー専用の装飾品。
全ての武具に装着可能。
{c05}（特殊装飾品）",,3,yes,
"火薬が湿らないよう処理を施
した貫通弾。長期保存が可能。
{c05}（狩煉道専用アイテム）",,3,yes,
"火薬が湿らないよう処理を
施した散弾。長期保存が可能。
{c05}（狩煉道専用アイテム）",,3,yes,
"火薬が湿らぬよう処理を施し
た徹甲榴弾。長期保存が可能。
{c05}（狩煉道専用アイテム）",,3,yes,
"火薬が湿らないよう処理を施
した拡散弾。長期保存が可能。
{c05}（狩煉道専用アイテム）",,3,yes,
"キャラバンの交易品を模した
贈呈品。持っているだけで多
くの成果が認められる。",,3,yes,
"遥か遠方の地から移り渡った
と思われる特殊な素材。",,3,,
"ソルフレアシリーズの
生産方法が記された紙。
工房に持って行こう！",,3,yes,
"拠点獲得の証となる旗。
より多くの迎撃ポイントを
獲得することができる。",,3,yes,
"ヨルハ部隊から狩人に
送られた討伐の依頼書。",,3,yes,
"和を感じさせる不思議な絹。
絹には見たことのない文字
と一枚の絵が書かれている。",,3,,
"特別なグーク笛の
生産方法が記された紙。
工房に持って行こう！",,3,yes,
"グークの足を模した防具の
解放方法が記された紙。
工房に持って行こう！",,3,yes,
"東方の忍文字で記された暗号。
陸、海、空の３種の暗号を
調合して読み解くべし。",,3,,
"歌姫の纏っている衣装を
模した布。常人では触れる事
すら恐れ多い。",,3,,
"短時間ではあるが、第六感が
研ぎ澄まされ、モンスターの
生態を感知する事ができる。",,2,yes,"Temporarily sharpens your 
sixth-sense, and attunes
you to the ways of monsters."
"強烈な色と匂いを付着させる
ことで、モンスターの足取り
を把握できる手投げ玉。",,2,yes,"Toss this scented paint at
a monster to mark its
location, and track it."
"まれに飛竜の体内で生成され
る希少な玉石。思わず加工に
出すのをためらってしまう。",,2,,"A rare, precious gem from
inside a wyvern.
Almost too nice to use."
"加工の方法によっては飛竜類
の甲殻に匹敵する強度が期待
できる。特殊な素材が必要。",,2,,"With special materials,
this can be worked into very
strong armor."
"飛竜種の生態系や特徴が
記入された書物。購入後に
モンスターリストで参照可能。",,2,yes,"Monster List reference on
flying wyverns. Habits, ecology, etc."
"甲殻種の生態系や特徴が
記入された書物。購入後に
モンスターリストで参照可能。",,2,yes,"Monster List reference on
the Carapaceon family.
Habits, ecology, etc."
"装飾品の素材として
かかせない珠。",,2,,"An indispensable item used
in Decorations."
"麻痺スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your paralysis skill by 1"
"睡眠スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your sleep skill by 1"
"毒スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your poison skill by 1"
"脱臭スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your deoderant skill by 1"
"耐暑スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your heat resistance skill by 1"
"耐寒スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your cold resistance skill by 1"
"風圧スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your wind pressure skill by 1"
"回復速度スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your recovery speed skill by 1"
"攻撃スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your attack skill by 1"
"防御スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your defense skill by 1"
"ガード性能スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your guard skill by 1"
"斬れ味スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your sharpness skill by 1"
"達人スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your expert skill by 1"
"回避性能スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your evasion skill by 1"
"反動スキルが
アップする装飾品。",,2,yes,
"通常弾追加スキルが
アップする装飾品。",,2,yes,
"貫通弾追加スキルが
アップする装飾品。",,2,yes,
"散弾追加スキルが
アップする装飾品。",,2,yes,
"榴弾追加スキルが
アップする装飾品。",,2,yes,
"拡散弾追加スキルが
アップする装飾品。",,2,yes,
"砲術師スキルが
アップする装飾品。",,2,yes,
"聴覚保護スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your hearing skill by 1"
"広域スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your wide-area skill by 1"
"効果持続スキルが
アップする装飾品。",,2,yes,"A decoration that improves
your everlasting skill by 1"
